model,data_regime,epoch,layer,grad_norm
efficientnet_b0,100%,1,conv_stem.weight,0.9063616991043091
efficientnet_b0,100%,1,bn1.weight,0.09261251986026764
efficientnet_b0,100%,1,bn1.bias,0.09519796818494797
efficientnet_b0,100%,1,blocks.0.0.conv_dw.weight,0.7545672059059143
efficientnet_b0,100%,1,blocks.0.0.bn1.weight,0.15373589098453522
efficientnet_b0,100%,1,blocks.0.0.bn1.bias,0.04365062713623047
efficientnet_b0,100%,1,blocks.0.0.se.conv_reduce.weight,0.327431857585907
efficientnet_b0,100%,1,blocks.0.0.se.conv_reduce.bias,0.013193399645388126
efficientnet_b0,100%,1,blocks.0.0.se.conv_expand.weight,0.08843018859624863
efficientnet_b0,100%,1,blocks.0.0.se.conv_expand.bias,0.10997483134269714
efficientnet_b0,100%,1,blocks.0.0.conv_pw.weight,0.5275271534919739
efficientnet_b0,100%,1,blocks.0.0.bn2.weight,0.061827145516872406
efficientnet_b0,100%,1,blocks.0.0.bn2.bias,3.672588263725629e-06
efficientnet_b0,100%,1,blocks.1.0.conv_pw.weight,0.7164521217346191
efficientnet_b0,100%,1,blocks.1.0.bn1.weight,0.11782442033290863
efficientnet_b0,100%,1,blocks.1.0.bn1.bias,0.05005443096160889
efficientnet_b0,100%,1,blocks.1.0.conv_dw.weight,0.4064108729362488
efficientnet_b0,100%,1,blocks.1.0.bn2.weight,0.04836013540625572
efficientnet_b0,100%,1,blocks.1.0.bn2.bias,0.02266649901866913
efficientnet_b0,100%,1,blocks.1.0.se.conv_reduce.weight,0.26650694012641907
efficientnet_b0,100%,1,blocks.1.0.se.conv_reduce.bias,0.00413178326562047
efficientnet_b0,100%,1,blocks.1.0.se.conv_expand.weight,0.17989902198314667
efficientnet_b0,100%,1,blocks.1.0.se.conv_expand.bias,0.03997860103845596
efficientnet_b0,100%,1,blocks.1.0.conv_pwl.weight,0.8474454283714294
efficientnet_b0,100%,1,blocks.1.0.bn3.weight,0.045307308435440063
efficientnet_b0,100%,1,blocks.1.0.bn3.bias,4.130592969886493e-06
efficientnet_b0,100%,1,blocks.1.1.conv_pw.weight,0.7338051795959473
efficientnet_b0,100%,1,blocks.1.1.bn1.weight,0.11150411516427994
efficientnet_b0,100%,1,blocks.1.1.bn1.bias,0.08375322818756104
efficientnet_b0,100%,1,blocks.1.1.conv_dw.weight,0.6010460257530212
efficientnet_b0,100%,1,blocks.1.1.bn2.weight,0.1283169835805893
efficientnet_b0,100%,1,blocks.1.1.bn2.bias,0.03934629634022713
efficientnet_b0,100%,1,blocks.1.1.se.conv_reduce.weight,0.1220199316740036
efficientnet_b0,100%,1,blocks.1.1.se.conv_reduce.bias,0.00588773749768734
efficientnet_b0,100%,1,blocks.1.1.se.conv_expand.weight,0.2860828936100006
efficientnet_b0,100%,1,blocks.1.1.se.conv_expand.bias,0.04235363379120827
efficientnet_b0,100%,1,blocks.1.1.conv_pwl.weight,0.7235308885574341
efficientnet_b0,100%,1,blocks.1.1.bn3.weight,0.04854665696620941
efficientnet_b0,100%,1,blocks.1.1.bn3.bias,2.5230042410839815e-06
efficientnet_b0,100%,1,blocks.2.0.conv_pw.weight,1.0140854120254517
efficientnet_b0,100%,1,blocks.2.0.bn1.weight,0.15772601962089539
efficientnet_b0,100%,1,blocks.2.0.bn1.bias,0.15654978156089783
efficientnet_b0,100%,1,blocks.2.0.conv_dw.weight,0.6129671931266785
efficientnet_b0,100%,1,blocks.2.0.bn2.weight,0.18346813321113586
efficientnet_b0,100%,1,blocks.2.0.bn2.bias,0.063669353723526
