Model,Clean_Accuracy,Corruption,Corrupted_Accuracy,Corruption_Error,Relative_Robustness
efficientnet_b0,0.9306647605432452,Gaussian_0.05,0.9006433166547534,0.09935668334524661,0.9677419354838709
efficientnet_b0,0.9306647605432452,Gaussian_0.1,0.7626876340243031,0.23731236597569694,0.8195084485407066
efficientnet_b0,0.9306647605432452,Gaussian_0.2,0.16940671908506075,0.8305932809149392,0.18202764976958524
efficientnet_b0,0.9306647605432452,MotionBlur,0.5754110078627591,0.4245889921372409,0.6182795698924731
efficientnet_b0,0.9306647605432452,BrightnessShift,0.9049320943531094,0.0950679056468906,0.9723502304147466
resnet50,0.9342387419585418,Gaussian_0.05,0.9292351679771265,0.07076483202287354,0.9946442234123947
resnet50,0.9342387419585418,Gaussian_0.1,0.8849177984274482,0.11508220157255178,0.9472073450650345
resnet50,0.9342387419585418,Gaussian_0.2,0.6947819871336669,0.3052180128663331,0.7436878347360367
resnet50,0.9342387419585418,MotionBlur,0.5553967119370979,0.44460328806290206,0.5944912012241775
resnet50,0.9342387419585418,BrightnessShift,0.852037169406719,0.14796283059328097,0.9120122417750574
inception_v3,0.854181558255897,Gaussian_0.05,0.8370264474624732,0.16297355253752677,0.9799163179916319
inception_v3,0.854181558255897,Gaussian_0.1,0.7269478198713367,0.2730521801286633,0.8510460251046026
inception_v3,0.854181558255897,Gaussian_0.2,0.3795568263045032,0.6204431736954967,0.44435146443514645
inception_v3,0.854181558255897,MotionBlur,0.3516797712651894,0.6483202287348107,0.4117154811715481
inception_v3,0.854181558255897,BrightnessShift,0.8148677626876341,0.18513223731236594,0.9539748953974896
