Model,Clean_Accuracy,Corruption,Corrupted_Accuracy,Corruption_Error,Relative_Robustness,Params_M,GFLOPs
efficientnet_b0,0.9206576125804146,Gaussian_0.05,0.8963545389563974,0.10364546104360262,0.9736024844720497,4.003962,0.769274304
efficientnet_b0,0.9206576125804146,Gaussian_0.1,0.8248749106504646,0.1751250893495354,0.8959627329192547,4.003962,0.769274304
efficientnet_b0,0.9206576125804146,Gaussian_0.2,0.2894924946390279,0.7105075053609722,0.3144409937888199,4.003962,0.769274304
efficientnet_b0,0.9206576125804146,MotionBlur,0.5875625446747677,0.41243745532523235,0.6381987577639752,4.003962,0.769274304
efficientnet_b0,0.9206576125804146,BrightnessShift,0.8913509649749821,0.10864903502501788,0.968167701863354,4.003962,0.769274304
resnet50,0.9342387419585418,Gaussian_0.05,0.9199428162973553,0.0800571837026447,0.9846977811782709,23.569502,8.263512064
resnet50,0.9342387419585418,Gaussian_0.1,0.873481057898499,0.12651894210150105,0.9349655700076511,23.569502,8.263512064
resnet50,0.9342387419585418,Gaussian_0.2,0.6233023588277341,0.3766976411722659,0.667176740627391,23.569502,8.263512064
resnet50,0.9342387419585418,MotionBlur,0.5961401000714797,0.40385989992852034,0.6381025248661056,23.569502,8.263512064
resnet50,0.9342387419585418,BrightnessShift,0.8949249463902788,0.10507505360972125,0.9579188982402448,23.569502,8.263512064
inception_v3,0.8413152251608291,Gaussian_0.05,0.8327376697641172,0.16726233023588277,0.9898045879354291,21.812606,11.422725312
inception_v3,0.8413152251608291,Gaussian_0.1,0.7126518942101501,0.28734810578984993,0.8470688190314358,21.812606,11.422725312
inception_v3,0.8413152251608291,Gaussian_0.2,0.37526804860614726,0.6247319513938527,0.4460492778249788,21.812606,11.422725312
inception_v3,0.8413152251608291,MotionBlur,0.35525375268048603,0.644746247319514,0.42225998300764656,21.812606,11.422725312
inception_v3,0.8413152251608291,BrightnessShift,0.7948534667619729,0.20514653323802712,0.9447748513169075,21.812606,11.422725312
